2026/02/02 19:56更新,#genre#
浙江卫视4K,https://play-qukan.cztv.com:443/live/1758879019692345.m3u8
广东电信-组播1,#genre#

CCTV1,http://113.119.25.235:58888/udp/239.77.0.14:5146$广东电信
CCTV1,http://113.119.25.235:58888/udp/239.77.0.30:5146$广东电信
CCTV1,http://113.119.25.235:58888/udp/239.77.0.86:5146$广东电信
CCTV1,http://113.119.25.235:58888/udp/239.77.0.119:5146$广东电信
CCTV1,http://113.119.25.235:58888/udp/239.77.1.17:5146$广东电信
CCTV1,http://113.119.25.235:58888/udp/239.77.1.144:5146$广东电信
CCTV1,http://113.119.25.235:58888/udp/239.77.0.129:5146$广东电信
CCTV2,http://113.119.25.235:58888/udp/239.77.0.137:5146$广东电信
CCTV2,http://113.119.25.235:58888/udp/239.77.1.158:5146$广东电信
CCTV3,http://113.119.25.235:58888/udp/239.77.0.32:5146$广东电信
CCTV3,http://113.119.25.235:58888/udp/239.77.0.169:5146$广东电信
CCTV3,http://113.119.25.235:58888/udp/239.77.1.7:5146$广东电信
CCTV4,http://113.119.25.235:58888/udp/239.77.0.33:5146$广东电信
CCTV4,http://113.119.25.235:58888/udp/239.77.0.78:5146$广东电信
CCTV4,http://113.119.25.235:58888/udp/239.77.1.163:5146$广东电信
CCTV4,http://113.119.25.235:58888/udp/239.77.1.166:5146$广东电信
CCTV4欧洲,http://113.119.25.235:58888/udp/239.253.43.120:5146$广东电信
CCTV4美洲,http://113.119.25.235:58888/udp/239.253.43.121:5146$广东电信
CCTV5,http://113.119.25.235:58888/udp/239.77.0.170:5146$广东电信
CCTV5,http://113.119.25.235:58888/udp/239.77.1.8:5146$广东电信
CCTV5,http://113.119.25.235:58888/udp/239.77.0.34:5146$广东电信
CCTV5+,http://113.119.25.235:58888/udp/239.77.0.87:5146$广东电信
CCTV5+,http://113.119.25.235:58888/udp/239.77.1.31:5146$广东电信
CCTV6,http://113.119.25.235:58888/udp/239.77.0.35:5146$广东电信
CCTV6,http://113.119.25.235:58888/udp/239.77.0.171:5146$广东电信
CCTV6,http://113.119.25.235:58888/udp/239.77.1.9:5146$广东电信
CCTV7,http://113.119.25.235:58888/udp/239.77.0.36:5146$广东电信
CCTV7,http://113.119.25.235:58888/udp/239.77.0.138:5146$广东电信
CCTV7,http://113.119.25.235:58888/udp/239.77.1.159:5146$广东电信
CCTV8,http://113.119.25.235:58888/udp/239.77.0.37:5146$广东电信
CCTV8,http://113.119.25.235:58888/udp/239.77.0.172:5146$广东电信
CCTV8,http://113.119.25.235:58888/udp/239.77.1.10:5146$广东电信
CCTV9,http://113.119.25.235:58888/udp/239.77.0.38:5146$广东电信
CCTV9,http://113.119.25.235:58888/udp/239.77.0.135:5146$广东电信
CCTV9,http://113.119.25.235:58888/udp/239.77.1.160:5146$广东电信
CCTV10,http://113.119.25.235:58888/udp/239.77.0.39:5146$广东电信
CCTV10,http://113.119.25.235:58888/udp/239.77.0.134:5146$广东电信
CCTV10,http://113.119.25.235:58888/udp/239.77.1.113:5146$广东电信
CCTV11,http://113.119.25.235:58888/udp/239.77.0.40:5146$广东电信
CCTV11,http://113.119.25.235:58888/udp/239.77.1.108:5146$广东电信
