上海联通-组播1,#genre#

CCTV4K,http://139.227.112.187:8001/udp/233.18.204.188:5140$上海联通
CCTV4K,http://139.227.112.187:8001/udp/233.18.204.204:5140$上海联通
CCTV16 4K,http://139.227.112.187:8001/udp/233.18.204.114:5140$上海联通
CCTV16 4K,http://139.227.112.187:8001/udp/233.18.204.215:5140$上海联通
北京卫视4K,http://139.227.112.187:8001/udp/233.18.204.209:5140$上海联通
东方卫视4K,http://139.227.112.187:8001/udp/233.18.204.224:5140$上海联通
广东卫视4K,http://139.227.112.187:8001/udp/233.18.204.218:5140$上海联通
深圳卫视4K,http://139.227.112.187:8001/udp/233.18.204.219:5140$上海联通
湖南卫视4K,http://139.227.112.187:8001/udp/233.18.204.227:5140$上海联通
山东卫视4K,http://139.227.112.187:8001/udp/233.18.204.228:5140$上海联通
四川卫视4K,http://139.227.112.187:8001/udp/233.18.204.225:5140$上海联通
浙江卫视4K,http://139.227.112.187:8001/udp/233.18.204.229:5140$上海联通
江苏卫视4K,http://139.227.112.187:8001/udp/233.18.204.226:5140$上海联通
欢笑剧场4K,http://139.227.112.187:8001/udp/233.18.204.115:5140$上海联通
欢笑剧场4K,http://139.227.112.187:8001/udp/233.18.204.205:5140$上海联通
BesTV4K动画,http://139.227.112.187:8001/udp/233.18.204.171:5140$上海联通
BesTV4K电影,http://139.227.112.187:8001/udp/233.18.204.169:5140$上海联通
BesTV4K记录,http://139.227.112.187:8001/udp/233.18.204.170:5140$上海联通
天翼高清4K,http://139.227.112.187:8001/udp/233.18.204.201:5140$上海联通
CCTV1,http://139.227.112.187:8001/udp/233.18.204.168:5140$上海联通
CCTV1,http://139.227.112.187:8001/udp/233.18.204.52:5140$上海联通
CCTV2,http://139.227.112.187:8001/udp/233.18.204.68:5140$上海联通
CCTV3,http://139.227.112.187:8001/udp/233.18.204.69:5140$上海联通
CCTV4,http://139.227.112.187:8001/udp/233.18.204.70:5140$上海联通
CCTV5,http://139.227.112.187:8001/udp/233.18.204.71:5140$上海联通
CCTV5+,http://139.227.112.187:8001/udp/233.18.204.67:5140$上海联通
CCTV6,http://139.227.112.187:8001/udp/233.18.204.72:5140$上海联通
CCTV7,http://139.227.112.187:8001/udp/233.18.204.73:5140$上海联通
CCTV8,http://139.227.112.187:8001/udp/233.18.204.74:5140$上海联通
