内蒙古电信-组播1,#genre#

CCTV1,http://123.179.61.46:4022/udp/239.29.0.133:5000$内蒙古电信
CCTV1,http://123.179.61.46:4022/udp/239.29.0.113:5000$内蒙古电信
CCTV2,http://123.179.61.46:4022/udp/239.29.0.116:5000$内蒙古电信
CCTV3,http://123.179.61.46:4022/udp/239.29.1.133:5000$内蒙古电信
CCTV4,http://123.179.61.46:4022/udp/239.29.0.87:5000$内蒙古电信
CCTV4欧洲,http://123.179.61.46:4022/udp/239.29.1.144:5000$内蒙古电信
CCTV4美洲,http://123.179.61.46:4022/udp/239.29.1.142:5000$内蒙古电信
CCTV5,http://123.179.61.46:4022/udp/239.29.1.134:5000$内蒙古电信
CCTV5+,http://123.179.61.46:4022/udp/239.29.1.10:5001
CCTV6,http://123.179.61.46:4022/udp/239.29.1.135:5000$内蒙古电信
CCTV7,http://123.179.61.46:4022/udp/239.29.0.117:5000$内蒙古电信
CCTV8,http://123.179.61.46:4022/udp/239.29.1.136:5000$内蒙古电信
CCTV9,http://123.179.61.46:4022/udp/239.29.0.118:5000$内蒙古电信
CCTV10,http://123.179.61.46:4022/udp/239.29.0.119:5000$内蒙古电信
CCTV11,http://123.179.61.46:4022/udp/239.29.0.205:5000$内蒙古电信
CCTV12,http://123.179.61.46:4022/udp/239.29.0.120:5000$内蒙古电信
CCTV13,http://123.179.61.46:4022/udp/239.29.1.123:5000$内蒙古电信
CCTV14,http://123.179.61.46:4022/udp/239.29.0.121:5000$内蒙古电信
CCTV15,http://123.179.61.46:4022/udp/239.29.0.206:5000$内蒙古电信
CCTV16,http://123.179.61.46:4022/udp/239.29.1.146:5000$内蒙古电信
CCTV17,http://123.179.61.46:4022/udp/239.29.1.145:5000$内蒙古电信
CETV1,http://123.179.61.46:4022/udp/239.29.1.161:5000$内蒙古电信
CETV1,http://123.179.61.46:4022/udp/239.29.0.95:5000$内蒙古电信
CETV4,http://123.179.61.46:4022/udp/239.29.0.220:5000$内蒙古电信
CGTN,http://123.179.61.46:4022/udp/239.29.1.143:5000$内蒙古电信
CGTN纪录,http://123.179.61.46:4022/udp/239.29.1.140:5000$内蒙古电信
CGTN阿语,http://123.179.61.46:4022/udp/239.29.1.138:5000$内蒙古电信
CGTN俄语,http://123.179.61.46:4022/udp/239.29.1.137:5000$内蒙古电信
CGTN西语,http://123.179.61.46:4022/udp/239.29.1.141:5000$内蒙古电信
CGTN法语,http://123.179.61.46:4022/udp/239.29.1.139:5000$内蒙古电信
CHC影迷电影,http://123.179.61.46:4022/udp/239.29.1.178:5000$内蒙古电信
CHC家庭影院,http://123.179.61.46:4022/udp/239.29.1.176:5000$内蒙古电信
CHC动作电影,http://123.179.61.46:4022/udp/239.29.1.177:5000$内蒙古电信
CCTV4K,http://123.179.61.46:4022/udp/239.29.1.164:5000$内蒙古电信
CCTV4K,http://123.179.61.46:4022/udp/239.29.1.164:5000$内蒙古电信
CCTV16 4K,http://123.179.61.46:4022/udp/239.29.1.149:5000$内蒙古电信
北京卫视4K,http://123.179.61.46:4022/udp/239.29.1.182:5000$内蒙古电信
广东卫视4K,http://123.179.61.46:4022/udp/239.29.1.184:5000$内蒙古电信
深圳卫视4K,http://123.179.61.46:4022/udp/239.29.1.185:5000$内蒙古电信
山东卫视4K,http://123.179.61.46:4022/udp/239.29.1.198:5000$内蒙古电信
山东卫视4K,http://123.179.61.46:4022/udp/239.29.1.196:5000$内蒙古电信
四川卫视4K,http://123.179.61.46:4022/udp/239.29.1.197:5000$内蒙古电信
浙江卫视4K,http://123.179.61.46:4022/udp/239.29.1.195:5000$内蒙古电信
江苏卫视4K,http://123.179.61.46:4022/udp/239.29.1.194:5000$内蒙古电信
湖南卫视4K,http://123.179.61.46:4022/udp/239.29.1.193:5000$内蒙古电信
金鹰纪实,http://123.179.61.46:4022/udp/239.29.0.92:5000$内蒙古电信
重庆卫视,http://123.179.61.46:4022/udp/239.29.1.157:5000$内蒙古电信
重庆卫视,http://123.179.61.46:4022/udp/239.29.0.99:5000$内蒙古电信
江苏卫视,http://123.179.61.46:4022/udp/239.29.0.102:5000$内蒙古电信
浙江卫视,http://123.179.61.46:4022/udp/239.29.0.96:5000$内蒙古电信
东方卫视,http://123.179.61.46:4022/udp/239.29.0.97:5000$内蒙古电信
深圳卫视,http://123.179.61.46:4022/udp/239.29.0.105:5000$内蒙古电信
北京卫视,http://123.179.61.46:4022/udp/239.29.0.108:5000$内蒙古电信
山东卫视,http://123.179.61.46:4022/udp/239.29.0.106:5000$内蒙古电信
天津卫视,http://123.179.61.46:4022/udp/239.29.0.98:5000$内蒙古电信
贵州卫视,http://123.179.61.46:4022/udp/239.29.0.104:5000$内蒙古电信
四川卫视,http://123.179.61.46:4022/udp/239.29.0.100:5000$内蒙古电信
云南卫视,http://123.179.61.46:4022/udp/239.29.1.192:5000$内蒙古电信
广西卫视,http://123.179.61.46:4022/udp/239.29.1.186:5000$内蒙古电信
黑龙江卫视,http://123.179.61.46:4022/udp/239.29.0.91:5000$内蒙古电信
安徽卫视,http://123.179.61.46:4022/udp/239.29.0.81:5000$内蒙古电信
山西卫视,http://123.179.61.46:4022/udp/239.29.1.187:5000$内蒙古电信
江西卫视,http://123.179.61.46:4022/udp/239.29.1.158:5000$内蒙古电信
湖北卫视,http://123.179.61.46:4022/udp/239.29.0.107:5000$内蒙古电信
旅游卫视,http://123.179.61.46:4022/udp/239.29.1.126:5000$内蒙古电信
东南卫视,http://123.179.61.46:4022/udp/239.29.0.103:5000$内蒙古电信
吉林卫视,http://123.179.61.46:4022/udp/239.29.1.183:5000$内蒙古电信
吉林卫视,http://123.179.61.46:4022/udp/239.29.1.125:5000$内蒙古电信
吉林卫视,http://123.179.61.46:4022/udp/239.29.1.159:5000$内蒙古电信
辽宁卫视,http://123.179.61.46:4022/udp/239.29.0.109:5000$内蒙古电信
内蒙古卫视,http://123.179.61.46:4022/udp/239.29.0.143:5000$内蒙古电信
内蒙古卫视,http://123.179.61.46:4022/udp/239.29.1.102:5000$内蒙古电信
内蒙古卫视,http://123.179.61.46:4022/udp/239.29.0.2:5000$内蒙古电信
湖南卫视,http://123.179.61.46:4022/udp/239.29.0.90:5000$内蒙古电信
广东卫视,http://123.179.61.46:4022/udp/239.29.0.123:5000$内蒙古电信
河南卫视,http://123.179.61.46:4022/udp/239.29.1.165:5000$内蒙古电信
河北卫视,http://123.179.61.46:4022/udp/239.29.0.124:5000$内蒙古电信
宁夏卫视,http://123.179.61.46:4022/udp/239.29.1.191:5000$内蒙古电信
甘肃卫视,http://123.179.61.46:4022/udp/239.29.1.160:5000$内蒙古电信
甘肃卫视,http://123.179.61.46:4022/udp/239.29.1.124:5000$内蒙古电信
新疆卫视,http://123.179.61.46:4022/udp/239.29.1.189:5000$内蒙古电信
西藏卫视,http://123.179.61.46:4022/udp/239.29.1.188:5000$内蒙古电信
兵团卫视,http://123.179.61.46:4022/udp/239.29.1.190:5000$内蒙古电信
卡酷少儿,http://123.179.61.46:4022/udp/239.29.1.41:5001
山东教育卫视,http://123.179.61.46:4022/udp/239.29.1.96:5001
北京纪实科教,http://123.179.61.46:4022/udp/239.29.0.110:5000$内蒙古电信
IPTV5,http://123.179.61.46:4022/udp/239.29.1.10:5001
乌拉特中旗,http://123.179.61.46:4022/udp/239.29.0.152:5000$内蒙古电信
乌拉特前旗,http://123.179.61.46:4022/udp/239.29.0.150:5000$内蒙古电信
乌海新闻,http://123.179.61.46:4022/udp/239.29.0.11:5000$内蒙古电信
乌海都市,http://123.179.61.46:4022/udp/239.29.0.12:5000$内蒙古电信
五原,http://123.179.61.46:4022/udp/239.29.1.103:5000$内蒙古电信
伊金霍洛旗,http://123.179.61.46:4022/udp/239.29.1.105:5000$内蒙古电信
全部频道收视排行,http://123.179.61.46:4022/udp/239.29.1.116:5000$内蒙古电信
内蒙农牧,http://123.179.61.46:4022/udp/239.29.0.209:5000$内蒙古电信
内蒙古蒙语,http://123.179.61.46:4022/udp/239.29.0.9:5000$内蒙古电信
内蒙少儿,http://123.179.61.46:4022/udp/239.29.0.207:5000$内蒙古电信
内蒙文体娱乐,http://123.179.61.46:4022/udp/239.29.0.211:5000$内蒙古电信
内蒙新闻综合,http://123.179.61.46:4022/udp/239.29.0.208:5000$内蒙古电信
内蒙本地频道展示,http://123.179.61.46:4022/udp/239.29.1.118:5000$内蒙古电信
内蒙经济生活,http://123.179.61.46:4022/udp/239.29.0.212:5000$内蒙古电信
内蒙蒙语,http://123.179.61.46:4022/udp/239.29.0.210:5000$内蒙古电信
