山东电信-组播1,#genre#
CCTV1[1920x1080],http://144.0.57.58:7004/udp/239.21.1.120:5002$山东电信
CCTV2[1920x1080],http://144.0.57.58:7004/udp/239.21.1.151:5002$山东电信
CCTV3[1920x1080],http://144.0.57.58:7004/udp/239.21.2.45:5002$山东电信
CCTV4[1920x1080],http://144.0.57.58:7004/udp/239.21.1.154:5002$山东电信
CCTV5[1920x1080],http://144.0.57.58:7004/udp/239.21.2.46:5002$山东电信
CCTV5+[1920x1080],http://144.0.57.58:7004/udp/239.21.1.142:5002$山东电信
CCTV6[1920x1080],http://144.0.57.58:7004/udp/239.21.2.47:5002$山东电信
CCTV7[1920x1080],http://144.0.57.58:7004/udp/239.21.1.152:5002$山东电信
CCTV8[1920x1080],http://144.0.57.58:7004/udp/239.21.2.48:5002$山东电信
CCTV9[1920x1080],http://144.0.57.58:7004/udp/239.21.1.153:5002$山东电信
CCTV10[1920x1080],http://144.0.57.58:7004/udp/239.21.1.155:5002$山东电信
CCTV11[1920x1080],http://144.0.57.58:7004/udp/239.21.2.2:5002$山东电信
CCTV12[1920x1080],http://144.0.57.58:7004/udp/239.21.1.156:5002$山东电信
CCTV13[1920x1080],http://144.0.57.58:7004/udp/239.21.2.3:5002$山东电信
CCTV14[1920x1080],http://144.0.57.58:7004/udp/239.21.1.157:5002$山东电信
CCTV15[1920x1080],http://144.0.57.58:7004/udp/239.21.2.4:5002$山东电信
CCTV17[1920x1080],http://144.0.57.58:7004/udp/239.21.1.186:5002$山东电信
CCTV4 美洲[1920x1080],http://144.0.57.58:7004/udp/239.21.2.29:5002$山东电信
CCTV4 欧洲[1920x1080],http://144.0.57.58:7004/udp/239.21.2.28:5002$山东电信
安徽卫视[1920x1080],http://144.0.57.58:7004/udp/239.21.1.159:5002$山东电信
湖南卫视[1920x1080],http://144.0.57.58:7004/udp/239.21.1.158:5002$山东电信
东南卫视[1920x1080],http://144.0.57.58:7004/udp/239.21.1.113:5002$山东电信
辽宁卫视[1920x1080],http://144.0.57.58:7004/udp/239.21.1.164:5002$山东电信
天津卫视[1920x1080],http://144.0.57.58:7004/udp/239.21.1.165:5002$山东电信
湖北卫视[1920x1080],http://144.0.57.58:7004/udp/239.21.1.163:5002$山东电信
东方卫视[1920x1080],http://144.0.57.58:7004/udp/239.21.1.111:5002$山东电信
北京卫视[1920x1080],http://144.0.57.58:7004/udp/239.21.1.88:5002$山东电信
浙江卫视[1920x1080],http://144.0.57.58:7004/udp/239.21.1.90:5002$山东电信
江苏卫视[1920x1080],http://144.0.57.58:7004/udp/239.21.1.89:5002$山东电信
山东卫视[1920x1080],http://144.0.57.58:7004/udp/239.21.1.87:5002$山东电信
黑龙江卫视[1920x1080],http://144.0.57.58:7004/udp/239.21.1.91:5002$山东电信
广东卫视[1920x1080],http://144.0.57.58:7004/udp/239.21.1.92:5002$山东电信
云南卫视[1920x1080],http://144.0.57.58:7004/udp/239.21.2.86:5002$山东电信
广西卫视[1920x1080],http://144.0.57.58:7004/udp/239.21.2.87:5002$山东电信
吉林卫视[1920x1080],http://144.0.57.58:7004/udp/239.21.2.49:5002$山东电信
四川卫视[1920x1080],http://144.0.57.58:7004/udp/239.21.2.15:5002$山东电信
海南卫视[1920x1080],http://144.0.57.58:7004/udp/239.21.2.14:5002$山东电信
甘肃卫视[1920x1080],http://144.0.57.58:7004/udp/239.21.2.22:5002$山东电信
河南卫视[1920x1080],http://144.0.57.58:7004/udp/239.21.2.37:5002$山东电信
青海卫视[1920x1080],http://144.0.57.58:7004/udp/239.21.2.51:5002$山东电信
青海卫视[1920x1080],http://144.0.57.58:7004/udp/239.21.2.85:5002$山东电信
兵团卫视[1920x1080],http://144.0.57.58:7004/udp/239.21.2.188:5002$山东电信
西藏卫视[1920x1080],http://144.0.57.58:7004/udp/239.21.2.186:5002$山东电信
宁夏卫视[1920x1080],http://144.0.57.58:7004/udp/239.21.2.189:5002$山东电信
新疆卫视[1920x1080],http://144.0.57.58:7004/udp/239.21.2.187:5002$山东电信
三沙卫视[720x576],http://144.0.57.58:7004/udp/239.21.2.9:5002$山东电信
厦门卫视[720x576],http://144.0.57.58:7004/udp/239.21.2.6:5002$山东电信
延边卫视[720x576],http://144.0.57.58:7004/udp/239.21.2.137:5002$山东电信
陕西卫视[720x576],http://144.0.57.58:7004/udp/239.21.1.30:5002$山东电信
山西卫视[720x576],http://144.0.57.58:7004/udp/239.21.1.33:5002$山东电信
内蒙古卫视[720x576],http://144.0.57.58:7004/udp/239.21.1.41:5002$山东电信
新疆卫视[720x576],http://144.0.57.58:7004/udp/239.21.1.45:5002$山东电信
宁夏卫视[720x576],http://144.0.57.58:7004/udp/239.21.1.44:5002$山东电信
西藏卫视[720x576],http://144.0.57.58:7004/udp/239.21.1.46:5002$山东电信
兵团卫视[720x576],http://144.0.57.58:7004/udp/239.21.1.234:5002$山东电信
农林卫视[720x576],http://144.0.57.58:7004/udp/239.21.1.235:5002$山东电信
CHC动作电影[1920x1080],http://144.0.57.58:7004/udp/239.21.2.128:5002$山东电信
CHC影迷电影[1920x1080],http://144.0.57.58:7004/udp/239.21.2.127:5002$山东电信
CHC家庭影院[1920x1080],http://144.0.57.58:7004/udp/239.21.2.126:5002$山东电信
精彩影视[1920x1080],http://144.0.57.58:7004/udp/239.21.2.91:5002$山东电信
重温经典影视[1920x1080],http://144.0.57.58:7004/udp/239.21.2.77:5002$山东电信
都市剧场[1920x1080],http://144.0.57.58:7004/udp/239.21.2.90:5002$山东电信
