海南电信-组播1,#genre#

CCTV1,http://223.198.241.13:4000/udp/239.253.64.120:5140$海南电信
CCTV2,http://223.198.241.13:4000/udp/239.253.64.195:5140$海南电信
CCTV3,http://223.198.241.13:4000/udp/239.253.64.244:5140$海南电信
CCTV4,http://223.198.241.13:4000/udp/239.253.64.196:5140$海南电信
CCTV4欧洲,http://223.198.241.13:4000/udp/239.253.64.77:5140$海南电信
CCTV4美洲,http://223.198.241.13:4000/udp/239.253.64.78:5140$海南电信
CCTV5,http://223.198.241.13:4000/udp/239.253.64.245:5140$海南电信
CCTV5+,http://223.198.241.13:4000/udp/239.253.64.100:5140$海南电信
CCTV6,http://223.198.241.13:4000/udp/239.253.64.246:5140$海南电信
CCTV7,http://223.198.241.13:4000/udp/239.253.64.54:5140$海南电信
CCTV8,http://223.198.241.13:4000/udp/239.253.64.247:5140$海南电信
CCTV9,http://223.198.241.13:4000/udp/239.253.64.76:5140$海南电信
CCTV10,http://223.198.241.13:4000/udp/239.253.64.87:5140$海南电信
CCTV11,http://223.198.241.13:4000/udp/239.253.64.70:5140$海南电信
CCTV12,http://223.198.241.13:4000/udp/239.253.64.97:5140$海南电信
CCTV13,http://223.198.241.13:4000/udp/239.253.64.59:5140$海南电信
CCTV14,http://223.198.241.13:4000/udp/239.253.64.115:5140$海南电信
CCTV15,http://223.198.241.13:4000/udp/239.253.64.72:5140$海南电信
CCTV16,http://223.198.241.13:4000/udp/239.253.64.251:5140$海南电信
CCTV17,http://223.198.241.13:4000/udp/239.253.64.67:5140$海南电信
CETV1,http://223.198.241.13:4000/udp/239.253.64.169:5140$海南电信
CETV2,http://223.198.241.13:4000/udp/239.253.64.128:5140$海南电信
CETV4,http://223.198.241.13:4000/udp/239.253.64.139:5140$海南电信
CGTN,http://223.198.241.13:4000/udp/239.253.64.68:5140$海南电信
CGTN纪录,http://223.198.241.13:4000/udp/239.253.64.58:5140$海南电信
CGTN阿语,http://223.198.241.13:4000/udp/239.253.64.74:5140$海南电信
CGTN俄语,http://223.198.241.13:4000/udp/239.253.64.75:5140$海南电信
CGTN西语,http://223.198.241.13:4000/udp/239.253.64.71:5140$海南电信
CGTN法语,http://223.198.241.13:4000/udp/239.253.64.73:5140$海南电信
CHC影迷电影,http://223.198.241.13:4000/udp/239.253.64.52:5140$海南电信
CHC家庭影院,http://223.198.241.13:4000/udp/239.253.64.50:5140$海南电信
CHC动作电影,http://223.198.241.13:4000/udp/239.253.64.51:5140$海南电信
CCTV4K,http://223.198.241.13:4000/udp/239.253.64.48:5140$海南电信
CCTV16 4K,http://223.198.241.13:4000/udp/239.253.64.126:5140$海南电信
北京卫视4K,http://223.198.241.13:4000/udp/239.253.64.92:5140$海南电信
东方卫视4K,http://223.198.241.13:4000/udp/239.253.64.63:5140$海南电信
