贵州电信-组播1,#genre#

CCTV4K,http://61.159.134.237:4022/udp/238.255.2.139:5999$贵州电信
CCTV16 4K,http://61.159.134.237:4022/udp/238.255.2.145:5999$贵州电信
北京卫视4K,http://61.159.134.237:4022/udp/238.255.2.160:5999$贵州电信
北京卫视4K,http://61.159.134.237:4022/udp/238.255.2.149:5999$贵州电信
东方卫视4K,http://61.159.134.237:4022/udp/238.255.2.124:5999$贵州电信
东方卫视4K,http://61.159.134.237:4022/udp/238.255.2.123:5999$贵州电信
广东卫视4K,http://61.159.134.237:4022/udp/238.255.2.46:5999$贵州电信
广东卫视4K,http://61.159.134.237:4022/udp/238.255.2.109:5999$贵州电信
深圳卫视4K,http://61.159.134.237:4022/udp/238.255.2.110:5999$贵州电信
深圳卫视4K,http://61.159.134.237:4022/udp/238.255.2.45:5999$贵州电信
湖南卫视4K,http://61.159.134.237:4022/udp/238.255.2.113:5999$贵州电信
湖南卫视4K,http://61.159.134.237:4022/udp/238.255.2.114:5999$贵州电信
山东卫视4K,http://61.159.134.237:4022/udp/238.255.2.130:5999$贵州电信
山东卫视4K,http://61.159.134.237:4022/udp/238.255.2.138:5999$贵州电信
四川卫视4K,http://61.159.134.237:4022/udp/238.255.2.129:5999$贵州电信
四川卫视4K,http://61.159.134.237:4022/udp/238.255.2.125:5999$贵州电信
浙江卫视4K,http://61.159.134.237:4022/udp/238.255.2.122:5999$贵州电信
浙江卫视4K,http://61.159.134.237:4022/udp/238.255.2.121:5999$贵州电信
江苏卫视4K,http://61.159.134.237:4022/udp/238.255.2.118:5999$贵州电信
江苏卫视4K,http://61.159.134.237:4022/udp/238.255.2.119:5999$贵州电信
CCTV1,http://61.159.134.237:4022/udp/238.255.2.91:5999$贵州电信
CCTV2,http://61.159.134.237:4022/udp/238.255.2.11:5999$贵州电信
CCTV3,http://61.159.134.237:4022/udp/238.255.2.133:5999$贵州电信
CCTV4,http://61.159.134.237:4022/udp/238.255.2.92:5999$贵州电信
CCTV4欧洲,http://61.159.134.237:4022/udp/238.255.2.213:5999$贵州电信
CCTV4美洲,http://61.159.134.237:4022/udp/238.255.2.214:5999$贵州电信
CCTV5,http://61.159.134.237:4022/udp/238.255.2.134:5999$贵州电信
CCTV5+,http://61.159.134.237:4022/udp/238.255.2.185:5999$贵州电信
CCTV6,http://61.159.134.237:4022/udp/238.255.2.135:5999$贵州电信
CCTV7,http://61.159.134.237:4022/udp/238.255.2.12:5999$贵州电信
CCTV8,http://61.159.134.237:4022/udp/238.255.2.136:5999$贵州电信
CCTV9,http://61.159.134.237:4022/udp/238.255.2.155:5999$贵州电信
CCTV10,http://61.159.134.237:4022/udp/238.255.2.13:5999$贵州电信
CCTV11,http://61.159.134.237:4022/udp/238.255.2.14:5999$贵州电信
CCTV12,http://61.159.134.237:4022/udp/238.255.2.15:5999$贵州电信
CCTV13,http://61.159.134.237:4022/udp/238.255.2.16:5999$贵州电信
CCTV14,http://61.159.134.237:4022/udp/238.255.2.17:5999$贵州电信
CCTV15,http://61.159.134.237:4022/udp/238.255.2.18:5999$贵州电信
CCTV17,http://61.159.134.237:4022/udp/238.255.2.137:5999$贵州电信
CETV1,http://61.159.134.237:4022/udp/238.255.2.105:5999$贵州电信
CETV4,http://61.159.134.237:4022/udp/238.255.2.222:5999$贵州电信
CETV早期教育,http://61.159.134.237:4022/udp/238.255.2.143:5999$贵州电信
CGTN,http://61.159.134.237:4022/udp/238.255.2.207:5999$贵州电信
CGTN,http://61.159.134.237:4022/udp/238.255.2.146:5999$贵州电信
CGTN阿语,http://61.159.134.237:4022/udp/238.255.2.211:5999$贵州电信
CGTN俄语,http://61.159.134.237:4022/udp/238.255.2.210:5999$贵州电信
CGTN西语,http://61.159.134.237:4022/udp/238.255.2.209:5999$贵州电信
CGTN法语,http://61.159.134.237:4022/udp/238.255.2.208:5999$贵州电信
第一剧场,http://61.159.134.237:4022/udp/238.255.2.25:5999$贵州电信
风云剧场,http://61.159.134.237:4022/udp/238.255.2.28:5999$贵州电信
风云足球,http://61.159.134.237:4022/udp/238.255.2.29:5999$贵州电信
风云音乐,http://61.159.134.237:4022/udp/238.255.2.24:5999$贵州电信
世界地理,http://61.159.134.237:4022/udp/238.255.2.26:5999$贵州电信
怀旧剧场,http://61.159.134.237:4022/udp/238.255.2.33:5999$贵州电信
兵器科技,http://61.159.134.237:4022/udp/238.255.2.34:5999$贵州电信
女性时尚,http://61.159.134.237:4022/udp/238.255.2.27:5999$贵州电信
高尔夫网球,http://61.159.134.237:4022/udp/238.255.2.223:5999$贵州电信
央视台球,http://61.159.134.237:4022/udp/238.255.2.224:5999$贵州电信
央视文化精品,http://61.159.134.237:4022/udp/238.255.2.32:5999$贵州电信
天元围棋,http://61.159.134.237:4022/udp/238.255.2.7:5999$贵州电信
卫生健康,http://61.159.134.237:4022/udp/238.255.2.144:5999$贵州电信
重庆卫视,http://61.159.134.237:4022/udp/238.255.2.78:5999$贵州电信
江苏卫视,http://61.159.134.237:4022/udp/238.255.2.104:5999$贵州电信
浙江卫视,http://61.159.134.237:4022/udp/238.255.2.100:5999$贵州电信
东方卫视,http://61.159.134.237:4022/udp/238.255.2.98:5999$贵州电信
深圳卫视,http://61.159.134.237:4022/udp/238.255.2.61:5999$贵州电信
北京卫视,http://61.159.134.237:4022/udp/238.255.2.81:5999$贵州电信
山东卫视,http://61.159.134.237:4022/udp/238.255.2.97:5999$贵州电信
天津卫视,http://61.159.134.237:4022/udp/238.255.2.99:5999$贵州电信
贵州卫视,http://61.159.134.237:4022/udp/238.255.2.1:5999$贵州电信
贵州卫视,http://61.159.134.237:4022/udp/238.255.2.147:5999$贵州电信
四川卫视,http://61.159.134.237:4022/udp/238.255.2.76:5999$贵州电信
云南卫视,http://61.159.134.237:4022/udp/238.255.2.63:5999$贵州电信
黑龙江卫视,http://61.159.134.237:4022/udp/238.255.2.96:5999$贵州电信
安徽卫视,http://61.159.134.237:4022/udp/238.255.2.101:5999$贵州电信
江西卫视,http://61.159.134.237:4022/udp/238.255.2.94:5999$贵州电信
湖北卫视,http://61.159.134.237:4022/udp/238.255.2.102:5999$贵州电信
旅游卫视,http://61.159.134.237:4022/udp/238.255.2.58:5999$贵州电信
东南卫视,http://61.159.134.237:4022/udp/238.255.2.103:5999$贵州电信
吉林卫视,http://61.159.134.237:4022/udp/238.255.2.95:5999$贵州电信
辽宁卫视,http://61.159.134.237:4022/udp/238.255.2.69:5999$贵州电信
湖南卫视,http://61.159.134.237:4022/udp/238.255.2.93:5999$贵州电信
广东卫视,http://61.159.134.237:4022/udp/238.255.2.59:5999$贵州电信
河南卫视,http://61.159.134.237:4022/udp/238.255.2.74:5999$贵州电信
河北卫视,http://61.159.134.237:4022/udp/238.255.2.77:5999$贵州电信
宁夏卫视,http://61.159.134.237:4022/udp/238.255.2.75:5999$贵州电信
甘肃卫视,http://61.159.134.237:4022/udp/238.255.2.73:5999$贵州电信
青海卫视,http://61.159.134.237:4022/udp/238.255.2.51:5999$贵州电信
新疆卫视,http://61.159.134.237:4022/udp/238.255.2.66:5999$贵州电信
西藏卫视,http://61.159.134.237:4022/udp/238.255.2.65:5999$贵州电信
兵团卫视,http://61.159.134.237:4022/udp/238.255.2.67:5999$贵州电信
金鹰卡通,http://61.159.134.237:4022/udp/238.255.2.55:5999$贵州电信
卡酷少儿,http://61.159.134.237:4022/udp/238.255.2.106:5999$贵州电信
卡酷少儿,http://61.159.134.237:4022/udp/238.255.2.80:5999$贵州电信
山东教育卫视,http://61.159.134.237:4022/udp/238.255.2.79:5999$贵州电信
北京纪实科教,http://61.159.134.237:4022/udp/238.255.2.107:5999$贵州电信
家有购物,http://61.159.134.237:4022/udp/238.255.2.10:5999$贵州电信
六盘水综合,http://61.159.134.237:4022/udp/238.255.2.115:5999$贵州电信
多彩贵州,http://61.159.134.237:4022/udp/238.255.2.206:5999$贵州电信
