陕西电信-组播1,#genre#

CCTV1,http://117.39.37.194:4022/udp/239.112.205.59:5140$陕西电信
CCTV1,http://117.39.37.194:4022/udp/239.109.205.118:8880
CCTV1,http://117.39.37.194:4022/udp/239.111.205.46:5140$陕西电信
CCTV1,http://117.39.37.194:4022/udp/239.109.205.222:9726
CCTV2,http://117.39.37.194:4022/udp/239.112.205.78:5140$陕西电信
CCTV2,http://117.39.37.194:4022/udp/239.109.205.106:8784
CCTV3,http://117.39.37.194:4022/udp/239.109.205.79:8568
CCTV3,http://117.39.37.194:4022/udp/239.112.205.221:5140$陕西电信
CCTV4,http://117.39.37.194:4022/udp/239.112.205.202:5140$陕西电信
CCTV4,http://117.39.37.194:4022/udp/239.109.205.159:9108
CCTV4欧洲,http://117.39.37.194:4022/udp/239.111.205.83:5140$陕西电信
CCTV4美洲,http://117.39.37.194:4022/udp/239.111.205.84:5140$陕西电信
CCTV5,http://117.39.37.194:4022/udp/239.111.205.10:5140$陕西电信
CCTV5,http://117.39.37.194:4022/udp/239.109.205.214:9208
CCTV5,http://117.39.37.194:4022/udp/239.109.205.80:8576
CCTV5,http://117.39.37.194:4022/udp/239.112.205.222:5140$陕西电信
CCTV5+,http://117.39.37.194:4022/udp/239.111.205.13:5140$陕西电信
CCTV6,http://117.39.37.194:4022/udp/239.109.205.84:8608
CCTV6,http://117.39.37.194:4022/udp/239.112.205.223:5140$陕西电信
CCTV7,http://117.39.37.194:4022/udp/239.110.205.7:9774
CCTV7,http://117.39.37.194:4022/udp/239.109.205.216:9702
CCTV7,http://117.39.37.194:4022/udp/239.112.205.83:5140$陕西电信
CCTV8,http://117.39.37.194:4022/udp/239.109.205.90:8656
CCTV8,http://117.39.37.194:4022/udp/239.112.205.224:5140$陕西电信
CCTV9,http://117.39.37.194:4022/udp/239.110.205.8:9778
CCTV9,http://117.39.37.194:4022/udp/239.112.205.85:5140$陕西电信
CCTV10,http://117.39.37.194:4022/udp/239.110.205.9:9782
CCTV10,http://117.39.37.194:4022/udp/239.112.205.86:5140$陕西电信
CCTV11,http://117.39.37.194:4022/udp/239.111.205.11:5140$陕西电信
CCTV11,http://117.39.37.194:4022/udp/239.109.205.102:8752
CCTV11,http://117.39.37.194:4022/udp/239.112.205.213:5140$陕西电信
CCTV12,http://117.39.37.194:4022/udp/239.112.205.88:5140$陕西电信
CCTV12,http://117.39.37.194:4022/udp/239.110.205.10:9786
CCTV13,http://117.39.37.194:4022/udp/239.111.205.53:5140$陕西电信
CCTV14,http://117.39.37.194:4022/udp/239.110.205.20:9826
CCTV14,http://117.39.37.194:4022/udp/239.112.205.91:5140$陕西电信
CCTV15,http://117.39.37.194:4022/udp/239.112.205.214:5140$陕西电信
CCTV15,http://117.39.37.194:4022/udp/239.109.205.103:8760
CCTV16,http://117.39.37.194:4022/udp/239.111.205.133:5140$陕西电信
CCTV17,http://117.39.37.194:4022/udp/239.112.205.211:5140$陕西电信
CCTV17,http://117.39.37.194:4022/udp/239.109.205.88:8640
CCTV4K,http://117.39.37.194:4022/udp/239.111.205.40:5140$陕西电信
CCTV4K,http://117.39.37.194:4022/udp/239.109.205.192:9608
CCTV4K,http://117.39.37.194:4022/udp/239.111.205.38:5140$陕西电信
CCTV16 4K,http://117.39.37.194:4022/udp/239.111.205.134:5140$陕西电信
北京卫视4K,http://117.39.37.194:4022/udp/239.109.205.5:9144
北京卫视4K,http://117.39.37.194:4022/udp/239.111.205.51:5140$陕西电信
东方卫视4K,http://117.39.37.194:4022/udp/239.111.205.67:5140$陕西电信
广东卫视4K,http://117.39.37.194:4022/udp/239.110.205.36:9850
广东卫视4K,http://117.39.37.194:4022/udp/239.111.205.103:5140$陕西电信
深圳卫视4K,http://117.39.37.194:4022/udp/239.109.205.195:9642
深圳卫视4K,http://117.39.37.194:4022/udp/239.111.205.104:5140$陕西电信
湖南卫视4K,http://117.39.37.194:4022/udp/239.111.205.63:5140$陕西电信
湖南卫视4K,http://117.39.37.194:4022/udp/239.110.205.91:7912
山东卫视4K,http://117.39.37.194:4022/udp/239.110.205.6:9770
山东卫视4K,http://117.39.37.194:4022/udp/239.111.205.66:5140$陕西电信
